"id","tipo","rol","empleado","razon","monto","calculo_id","created_at","updated_at"
"59230","CARGO","EJECUTIVO","4980","Charge Back","304.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59231","CARGO","EJECUTIVO","5762","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59232","CARGO","EJECUTIVO","5752","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59233","CARGO","EJECUTIVO","5812","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59234","CARGO","EJECUTIVO","5970","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59235","CARGO","EJECUTIVO","5901","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59236","CARGO","EJECUTIVO","5205","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59237","CARGO","EJECUTIVO","5525","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59238","CARGO","EJECUTIVO","5717","Charge Back","800.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59239","CARGO","EJECUTIVO","5794","Charge Back","300.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59240","CARGO","EJECUTIVO","5710","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59241","CARGO","EJECUTIVO","5998","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59242","CARGO","EJECUTIVO","1393","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59243","CARGO","EJECUTIVO","5506","Charge Back","400.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59244","CARGO","EJECUTIVO","6041","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59245","CARGO","EJECUTIVO","5773","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59246","CARGO","EJECUTIVO","5545","Charge Back","252.47","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59247","CARGO","EJECUTIVO","5707","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59248","CARGO","EJECUTIVO","5651","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59249","CARGO","EJECUTIVO","5636","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59250","CARGO","EJECUTIVO","5684","Charge Back","289.71","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59251","CARGO","EJECUTIVO","5156","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59252","CARGO","EJECUTIVO","6037","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59253","CARGO","EJECUTIVO","5996","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59254","CARGO","EJECUTIVO","5537","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59255","CARGO","EJECUTIVO","5318","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59256","CARGO","EJECUTIVO","5391","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59257","CARGO","EJECUTIVO","5800","Charge Back","42.76","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59258","CARGO","EJECUTIVO","5981","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59259","CARGO","EJECUTIVO","1757","Charge Back","1500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59260","CARGO","EJECUTIVO","5590","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59261","CARGO","EJECUTIVO","5987","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59262","CARGO","EJECUTIVO","4268","Charge Back","800.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59263","CARGO","EJECUTIVO","5501","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59264","CARGO","EJECUTIVO","4896","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59265","CARGO","EJECUTIVO","6045","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59266","CARGO","EJECUTIVO","5500","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59267","CARGO","EJECUTIVO","5875","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59268","CARGO","EJECUTIVO","5242","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59269","CARGO","EJECUTIVO","5407","Charge Back","800.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59270","CARGO","EJECUTIVO","5819","Charge Back","200.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59271","CARGO","EJECUTIVO","5989","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59272","CARGO","EJECUTIVO","5399","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59273","CARGO","EJECUTIVO","4807","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59274","CARGO","EJECUTIVO","5796","Charge Back","800.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59275","CARGO","EJECUTIVO","3804","Charge Back","1500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59276","CARGO","EJECUTIVO","5806","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59277","CARGO","EJECUTIVO","5171","Charge Back","696.88","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59278","CARGO","EJECUTIVO","4806","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59279","CARGO","EJECUTIVO","5308","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59280","CARGO","EJECUTIVO","5781","Charge Back","800.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59281","CARGO","EJECUTIVO","3089","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59282","CARGO","EJECUTIVO","5951","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59283","CARGO","EJECUTIVO","3296","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59284","CARGO","EJECUTIVO","6032","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59285","CARGO","EJECUTIVO","6024","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59286","CARGO","EJECUTIVO","5595","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59287","CARGO","EJECUTIVO","3436","Charge Back","1250.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59288","CARGO","EJECUTIVO","5104","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59289","CARGO","EJECUTIVO","5027","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59290","CARGO","EJECUTIVO","5222","Charge Back","500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59291","CARGO","EJECUTIVO","1057","Charge Back","248.74","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59292","CARGO","EJECUTIVO","1374","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59293","CARGO","EJECUTIVO","456","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59294","CARGO","EJECUTIVO","5790","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59295","CARGO","EJECUTIVO","5922","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59296","CARGO","EJECUTIVO","5795","Charge Back","300.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59297","CARGO","EJECUTIVO","6063","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59298","CARGO","EJECUTIVO","5391","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59299","CARGO","EJECUTIVO","1757","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59300","CARGO","EJECUTIVO","6057","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59301","CARGO","EJECUTIVO","4112","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59302","CARGO","EJECUTIVO","6060","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59303","CARGO","EJECUTIVO","5783","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59304","CARGO","EJECUTIVO","1556","Charge Back","500.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59305","CARGO","EJECUTIVO","4970","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59306","CARGO","EJECUTIVO","5497","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59307","CARGO","EJECUTIVO","566","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
